"","Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"7862","OAZ1",5957.98278149829,-0.0495437596952829,0.196859834159719,-0.251670229769097,0.801295969666957,0.999993603917205,"4946"
"7863","OAZ2",659.292814883522,0.224925063760782,0.245610044856864,0.915781208752533,0.359781661323838,0.999993603917205,"4947"
"7864","OAZ3",63.9935206963461,0.0382071873145194,0.407623179823715,0.0937316355047398,0.925322339398463,0.999993603917205,"51686"
"7865","OBSCN",635.89232578124,-0.0704638119321239,0.415024512063845,-0.169782289681445,0.865181355490895,0.999993603917205,"84033"
"7866","OBSL1",1.55550095355349,2.97381300194898,2.90337739299669,1.02425988750969,0.305712538816021,0.999993603917205,"23363"
"7867","OCEL1",214.712263422797,0.125088337769131,0.392087527079853,0.319031668007269,0.74970249894915,0.999993603917205,"79629"
"7868","OCIAD1",1571.47833745025,-0.118269740498828,0.244129548284792,-0.484454836908393,0.628063108978325,0.999993603917205,"54940"
"7869","OCIAD2",577.278857170727,0.241267199835749,0.293695664707049,0.821487099839914,0.411368869113131,0.999993603917205,"132299"
"7870","OCLN",9.90383891302501,-1.85625356993556,1.62380633100212,-1.1431496074966,0.25297648063569,0.999993603917205,"100506658"
"7871","OCM",6.09664361186933,-0.245946956149324,1.39692332859009,-0.176063317947133,0.860244198743395,0.999993603917205,"654231"
"7872","OCRL",20.525795404902,-0.274318198794258,0.704283101933231,-0.389499901447678,0.696906383536779,0.999993603917205,"4952"
"7873","OCSTAMP",4.27586532642538,1.23347396482757,1.69251521720871,0.728781609929517,0.466135262517043,0.999993603917205,"128506"
"7874","ODAPH",77.2034293353134,1.1369264283264,3.07544865823764,0.369678233867154,0.711622251530713,0.999993603917205,"152816"
"7875","ODC1",1675.18728273352,0.0872644635852806,0.250391737293396,0.348511754135995,0.72745588796419,0.999993603917205,"4953"
"7876","ODF2",900.396692994252,0.202809356925847,0.327411923128529,0.61943180012486,0.535631937388376,0.999993603917205,"4957"
"7877","ODF2L",3367.90538458665,-0.182542031690654,0.287292021155672,-0.635388448855467,0.525175099863022,0.999993603917205,"57489"
"7878","ODR4",406.488141566876,-0.222818315890542,0.3233862007437,-0.689016152755189,0.490813102740696,0.999993603917205,"54953"
"7879","OFD1",1605.78823161549,-0.0664549921810917,0.25488408225595,-0.260726333292005,0.794303557202467,0.999993603917205,"8481"
"7880","OGA",8489.5893279411,-0.116357552457806,0.236131504375163,-0.492765896552874,0.622178010194463,0.999993603917205,"10724"
"7881","OGDH",2351.31541997362,-0.0718378604728334,0.332298424553693,-0.216184775986579,0.828843719972657,0.999993603917205,"4967"
"7882","OGFOD1",587.638725779925,-0.162762321899791,0.251679808950596,-0.646703931389826,0.517823578209363,0.999993603917205,"55239"
"7883","OGFOD2",32.8770684833435,0.17021290363103,0.664234987999099,0.256254046694783,0.797754678187013,0.999993603917205,"79676"
"7884","OGFOD3",307.304896168259,0.0846373792547238,0.422243603411307,0.200446800308964,0.841131160752792,0.999993603917205,"79701"
"7885","OGFR",1275.52998182109,0.319121181512729,0.331299969051116,0.96323939427683,0.335427399722962,0.999993603917205,"11054"
"7886","OGFRL1",1548.42932005374,-0.541426568509575,0.344592597749473,-1.57120777418209,0.116134394885506,0.999993603917205,"79627"
"7887","OGG1",381.813653711644,-0.0926743471667941,0.370253241035603,-0.250299894492706,0.802355438053857,0.999993603917205,"4968"
"7888","OGN",6.63054663123089,0.392886314201316,1.10491342938539,0.355581083325106,0.722154312272221,0.999993603917205,"4969"
"7889","OGT",22254.8308301836,-0.258163298964513,0.337119371066868,-0.765791945290816,0.443800107636806,0.999993603917205,"8473"
"7890","OIP5",43.6834057423337,0.303197938410523,0.615790236651162,0.492372110443642,0.622456311517573,0.999993603917205,"11339"
"7891","OLA1",684.606039863825,-0.162639111713214,0.243754348946408,-0.66722547686307,0.504628120001189,0.999993603917205,"29789"
"7892","OLFM2",138.649143979725,-0.0907428885351199,0.418110939136627,-0.217030649144216,0.828184459583039,0.999993603917205,"93145"
"7893","OLFML3",2.51049585819391,-1.60624969375654,2.49868231399093,-0.642838701327748,0.520328767916812,0.999993603917205,"56944"
"7894","OLIG3",3.21318249384315,5.12595205936818,2.16877975965837,2.36351894955697,0.0181023008613649,0.999993603917205,"167826"
"7895","OLR1",1.39778582033136,0.313160579866273,3.03914908594021,0.10304219076156,0.917929485764434,0.999993603917205,"4973"
"7896","OMA1",344.209759894028,-0.114810648899278,0.304331299239322,-0.377255475155688,0.705983757407958,0.999993603917205,"115209"
"7897","OMD",2.56876414975969,3.74712881203214,3.01977579315693,1.24086325233928,0.214656269938995,0.999993603917205,"4958"
"7898","OMG",44.6784621887198,-0.294944814348397,0.483057034492192,-0.610579689949975,0.54147787183066,0.999993603917205,"4974"
"7899","OMP",1.40112808439036,1.76210682421201,3.05472942823279,0.576845467204411,0.564043851909274,0.999993603917205,"4975"
"7900","OOEP",2.97361924048118,1.05824355838283,2.22499846334773,0.475615410893632,0.634348394222463,0.999993603917205,"441161"
"7901","OOSP4A",1.29934424767052,3.81570795369724,3.94078354059244,0.968261239013297,0.33291391762155,0.999993603917205,"112577462"
"7902","OPA1",1585.60064587578,-0.322959213101968,0.29308655129469,-1.10192436901426,0.270494553249526,0.999993603917205,"4976"
"7903","OPA3",401.403454934089,0.036347324647005,0.253330410013183,0.143477937153749,0.885912734562242,0.999993603917205,"80207"
"7904","OPHN1",1.98307533076833,2.39018969489814,2.36062273272318,1.01252506881557,0.31128706664676,0.999993603917205,"4983"
"7905","OPLAH",14.2576181575148,1.60957848157753,0.937877827257432,1.71619206126698,0.0861268957374215,0.999993603917205,"26873"
"7906","OPN1SW",34.2706028924116,-0.763052611290408,0.55072992834691,-1.38552958903253,0.165890591353915,0.999993603917205,"611"
"7907","OPN3",20.2037720754459,-0.170115239237619,0.704677609040823,-0.241408605942756,0.809238443392892,0.999993603917205,"23596"
"7908","OPRD1",6.517649436307,-0.263731170406398,1.25275985460446,-0.210520132359818,0.833261740366028,0.999993603917205,"4985"
"7909","OPRL1",47.0388041276496,0.866002135184487,0.64777691693151,1.33688328890554,0.181260736435917,0.999993603917205,"4987"
"7910","OPTN",4748.24644287565,-0.0694865751294869,0.250656524099971,-0.277218298542164,0.78161248983658,0.999993603917205,"10133"
"7911","OR10G2",43.5374967824739,-0.31708054469793,0.643949001752949,-0.492400087328,0.622436537571373,0.999993603917205,"26534"
"7912","OR1L8",3.4235496616207,-2.14099312402735,1.82474421357833,-1.17331136500982,0.240670966381114,0.999993603917205,"138881"
"7913","OR2A1",17.5868918210621,0.0587860286783301,0.742023487834436,0.079223945929117,0.936854498353852,0.999993603917205,"346528"
"7914","OR2A4",2.39418002548701,-4.70703554986788,2.97360604862762,-1.58293851737364,0.113435478538289,0.999993603917205,"79541"
"7915","OR2A42",27.9073716019772,0.0565386162844278,0.707059477229099,0.0799630273057048,0.936266661708521,0.999993603917205,"402317"
"7916","OR2A7",13.0977914206448,0.654752829656467,0.895102329449678,0.731483773546895,0.464483712215612,0.999993603917205,"401427"
